Item Name;Region;Lore;DescriptionGame;DescriptionLore;ImageURL
Ninja Tabi;ionia;Favored by Ionian martial artists. Legends say masters can move like shadows while wearing them, blending into the spirit realm.;Reduces damage from basic attacks and provides movement speed.;AC 13. wearer reduces damage from mundane missile attacks by 2 points and moves +10' when exploring or evading in wilderness or urban environments. If fleeing reduce encounter distance by half.;https://wiki.leagueoflegends.com/en-us/images/Ninja_Tabi_item.png
Nomad's Medallion;targon;Associated with Targon's nomadic people. Grants resilience and empowers allies nearby, embodying the mountain's supportive aspect.;Grants health regeneration, mana regeneration, and bonus gold. Provides aura of mana regen to nearby allies.;Wearer heals 1hp per round and regenerates 1 mana per turn. Allies within 30' also regen mana. +1 to saves vs. exhaustion.;https://wiki.leagueoflegends.com/en-us/images/Nomad%27s_Medallion_item.png
Null-Magic Mantle;demacia;Crafted by Demacian mages, the Null-Magic Mantle protects against arcane threats, commonly used by frontline soldiers and mageseekers.;Provides magic resistance, reducing damage taken from enemy abilities.;Confers advantage on saves versus spells and magical effects. On a failed save, halve damage. If already resistant to magic, reduce magical damage taken by one-quarter.;https://wiki.leagueoflegends.com/en-us/images/Null-Magic_Mantle_item.png
Obsidian Cleaver;noxus;Favored by Noxian commanders, the Obsidian Cleaver sunders armor, leaving enemies vulnerable to further assaults. Represents raw, brutal power.;Deals physical damage, reduces enemy armor, and grants movement speed on hit.;On a hit, target must save vs. crushing blow or suffer -1 to AC. Cleaving a foe strengthens the wielder, increasing movement by 10' for a turn.;https://wiki.leagueoflegends.com/en-us/images/Obsidian_Cleaver_item.png
Odyn's Veil;freljord;Likely crafted by the ancient Iceborn, a relic against magical assaults. Perhaps tied to a forgotten god or powerful ice witch.;Grants magic resist and reduces incoming magic damage. Provides a burst of damage upon taking enough magic damage.;Wearer gains +3 to saves vs. spells. If targeted by a harmful spell, unleash a shock dealing 1d6 cold damage to the caster.;https://wiki.leagueoflegends.com/en-us/images/Odyn%27s_Veil_item.png
Ohmwrecker;targon;Favored by those scaling the mountain, rumored to be blessed by ancient aspects for protection.;Disables nearby enemy turrets for a short duration, allowing for safer sieges.;Once per day, emit a pulse. Stone and metal constructs nearby become inert for 1d4 rounds. A save versus magic negates.;https://wiki.leagueoflegends.com/en-us/images/Ohmwrecker_item.png
Oponn's Razor;ionia;Crafted by a reclusive Ionian bladesmith, rumored to have ties to the ancient teachings of the Kinkou Order.;Dashes empower your next attack to slow the target and deal bonus damage.;On a hit after dashing, target must SAVE vs DEX or be slowed (treat as entangled), and take +1d6 damage. User is momentarily winded (-1 to next roll).;https://wiki.leagueoflegends.com/en-us/images/Oponn%27s_Razor_item.png
Oracle's Elixir;demacia;Potentially used by Demacian mageseekers to detect hidden magic or illusions. Could be associated with Sylas's escape.;Grants true sight, revealing invisible units and disabling enemy wards for a short duration.;Reveals invisible creatures and traps. Grants advantage on saving throws vs. illusions. Causes a burning sensation when near magical items and spellcasters.;https://wiki.leagueoflegends.com/en-us/images/Oracle%27s_Elixir_item.png
Oracle's Hood;targon;Forged on Targon, rumored to ward against celestial trickery or the gaze of Aspects. Sought after by those who deal with cosmic entities.;Grants magic resistance. Passively grants immunity to magic damage every 90 seconds.;Wearer is +3 to saves vs. illusion and mind-affecting magic. Once per day, wearer ignores the effects of a single harmful spell that targets them.;https://wiki.leagueoflegends.com/en-us/images/Oracle%27s_Hood_item.png
Orb of Winter;freljord;Likely forged in the Freljord, possibly tied to the Winter's Claw or another ice-based faction. Grants resilience in harsh conditions.;Grants bonus health, mana, and ability haste. Transforms into Fimbulwinter when meeting certain conditions.;Grants +3 to saves vs. cold, provides 1 ration of food per day, and once per day, creates a barrier of ice that absorbs 1d6 damage. If broken, the Orb shatters, becoming useless.;https://wiki.leagueoflegends.com/en-us/images/Orb_of_Winter_item.png
Overlord's Bloodmail;noxus;Favored by Noxian arena champions, Overlord's Bloodmail is a testament to brutal strength and the will to dominate, embodying the empire's values.;Grants health, attack damage, and temporary bonus health/size on takedown.;Wearer gains +3 hit points. On slaying a foe, swell to ogre-size for 1d4 turns (+1 to hit, -1 AC). Afterwards, must SAVE vs. Poison or be Exhausted.;https://wiki.leagueoflegends.com/en-us/images/Overlord%27s_Bloodmail_item.png
Pauldrons of Whiterock;freljord;Forged in the icy heart of the Freljord, these pauldrons are rumored to have been worn by a forgotten Iceborn warrior.;Immobilizing an enemy grants bonus armor and magic resist to nearby allies.;When wearer freezes a foe, allies gain +2 AC and +1 to saves vs. magic for 3 turns. The pauldrons whisper forgotten battle tactics.;https://wiki.leagueoflegends.com/en-us/images/Pauldrons_of_Whiterock_item.png
Pendant of Zephiris;ionia;Said to be blessed by the Zephyr winds of Ionia, granting the wearer unnatural agility and speed. Perhaps a connection to a wind spirit.;+25 Attack Damage, +25% Attack Speed, +10% Cooldown Reduction, +10% Movement Speed.;Grants +1 to DEX. Once per day, reroll a failed DEX saving throw. Subject to whims of weather, storms may hinder its power (-1 DEX in strong winds).;https://wiki.leagueoflegends.com/en-us/images/Pendant_of_Zephiris_item.png
Perfectly Timed Stopwatch;demacia;Forged in Demacia, rumored to be blessed by Kayle. Grants brief invulnerability, favored by mages escaping Noxian ambushes.;Grants temporary invulnerability, rendering the champion unable to move or act during the stasis.;"Allows the user to briefly step outside of time, becoming untouchable but unable to act. Roll a d6; on a 1, you are shunted to a random point in time.";https://wiki.leagueoflegends.com/en-us/images/Stopwatch_item_HD.png
Phage;noxus;Favored by lowborn arena fighters in Noxus, the Phage's brutal design reflects the region's harsh gladiatorial traditions and thirst for blood.;Grants bonus health and attack damage. Attacks grant a temporary movement speed bonus.;Upon a hit, chance to inflict 'momentum'. Momentum grants +1 to movement and attack rolls for 1 round. If already affected by momentum, target must save vs. STR or be knocked prone.;https://wiki.leagueoflegends.com/en-us/images/Phage_item.png
Philosopher's Medallion;targon;Favored by ascetics and wandering mystics in Targon seeking enlightenment. Often found near sites of great contemplation.;Grants health regeneration and mana regeneration.;Wearer recovers 1d4 hit points and 1d4 mana each turn. While meditating, recovery is doubled. May attract celestial beings or maddening whispers from beyond.;https://wiki.leagueoflegends.com/en-us/images/Philosopher%27s_Medallion_item.png
Phreakish Gusto;ionia;Whispers link it to a forgotten Ionian wind spirit, granting swiftness to those deemed worthy. Some believe it responds to inner peace.;Grants bonus move speed and magic resistance after casting your ultimate, decaying over time.;Upon unleashing a potent spell, move with unnatural speed (+2 to initiative, +10' movement) and resist magic. Save vs. magic or speed wanes after 3 rounds.;https://wiki.leagueoflegends.com/en-us/images/Phreakish_Gusto_item.png
Pilfered Health Potion;bilgewater;Likely plundered from a rival pirate crew or a foolish merchant vessel, hinting at the unscrupulous nature of Bilgewater's inhabitants.;Restores health over time.;Quaffing this murky brew grants +4 hit points over 1d4 turns. Side effects may include scurvy, sea shanties and uncontrollable greed.;https://wiki.leagueoflegends.com/en-us/images/Pilfered_Health_Potion_item.png
Pilfered Stealth Ward;bilgewater;Likely stolen from a rival pirate crew or found in a hidden cove, used to scout out enemies.;Places a temporary, invisible ward, revealing the surrounding area for a short duration.;Creates a magical sensor, revealing invisible creatures or pathways, lasts 6 turns. Range: 60'. Detects illusions, shadows, or magical traps.;https://wiki.leagueoflegends.com/en-us/images/Stealth_Ward_%28Item%29_item.png
Poacher's Dirk;noxus;Favored by Noxian assassins, the dirk is often used to secure bounties. The dirk is rumored to be crafted from metal sourced from a fallen darkin.;Killing large monsters grants bonus gold and empowers your next attack.;Upon slaying a beast, gain +1 to your next attack roll. If the beast has 3+ HD, also gain 1d6 gold. Gold disappears at the end of the day.;https://wiki.leagueoflegends.com/en-us/images/Poacher%27s_Dirk_item.png
Poro-Snax;freljord;Poro-Snax are beloved by poros, creatures native to the Freljord, often found around hearths and ancient ruins. Feeding them strengthens their bond.;Summoner's Rift: Feeds a poro, making it grow. Howling Abyss: Throws a Poro-Snax, which poros will run towards.;Creatures fed Poro-Snax become docile. A single snax thrown can distract beasts up to Huge size. A hoard of such creatures could be used as distractions or living walls.;https://wiki.leagueoflegends.com/en-us/images/Poro-Snax_item.png
Pox Arcana;noxus;Whispers say the Pox Arcana was penned by a hemomancer seeking to weaponize disease for the empire.;Dealing ability damage applies a stacking poison that deals magic damage over time.;Target suffers -1 to saves vs. poison/disease per stack. At 3 stacks, target must save vs. death or be stricken with a wasting illness, taking 1d4 damage per day until cured.;https://wiki.leagueoflegends.com/en-us/images/Pox_Arcana_item.png
Primordial Dawn;targon;Forged atop Mount Targon, it resonates with celestial power. Might have connection with the Solari or Lunari.;Deals bonus damage based on max health, heals based on damage dealt, and grants bonus armor/MR based on health.;Grants +2 AC per 10 HP. Strikes deal +1 damage per character level. User heals 1d4 HP per successful hit. Undead flee if damage exceeds their current HP.;https://wiki.leagueoflegends.com/en-us/images/Primordial_Dawn_item.png
Priscilla's Blessing;noxus;Whispers say Priscilla, a forgotten noble, blessed it for her champions. Now it is a symbol of cruel ambition, sought by those craving power.;Grants bonus attack speed and movement speed after scoring a takedown.;"Upon a kill, wearer gains +1 to attack rolls and +2"" movement for 1d4 rounds. On a critical failure wearer is stunned for 1 round.";https://wiki.leagueoflegends.com/en-us/images/Priscilla%27s_Blessing_item.png
Prospector's Blade;freljord;The blade is rumored to have been forged in the Freljord, possibly by a forgotten tribe seeking to claim new lands and resources.;Grants bonus attack damage and a passive gold generation effect while last hitting minions.;The blade whispers secrets of nearby wealth (veins of ore, monster lairs). On a successful parry, the wielder can detect hidden passages within 30 ft for 1 round.;https://wiki.leagueoflegends.com/en-us/images/Prospector%27s_Blade_item.png
Prototype Hex Core;ionia;Associated with Viktor, and the founding of the Glorious Evolution. Could be tied to the Spirit of Innovation, if Ionia ever focused on tech.;Provides stats and can be upgraded to enhance Viktor's abilities.;"Grants +1 to a stat chosen at dawn. Each upgrade permanently enhances a specific skill; roll 1d6 to determine which. On a 6, instead, a random other player suffers -1 to a stat of your choice.";https://wiki.leagueoflegends.com/en-us/images/Prototype_Hex_Core_item.png
Puppeteer;shadow isles;Whispers claim these threads are spun from the souls of the damned, granting control over the living.;Charm an enemy champion, forcing them to attack their allies for a short duration.;On a failed save, puppeted creature attacks nearest ally (50% chance of target). Save allowed each round. Puppeteer takes 1d4 damage for each round of control.;https://wiki.leagueoflegends.com/en-us/images/Puppeteer_item.png
Quicksilver Sash;ionia;Favored by Ionian monks seeking clarity and protection from outside influences. It is sometimes seen amongst travelling merchants in Bilgewater.;Removes all crowd control effects. Grants brief immunity to further crowd control.;Grants a save versus enchantment/charm effects. If successful, you are also freed from any current bindings, petrification, or paralysis. Lasts 1 round.;https://wiki.leagueoflegends.com/en-us/images/Quicksilver_Sash_item.png
Rabadon's Deathcrown;ionia;Favored by mages in Ionia, Rabadon's Deathcrown is a symbol of magical prowess and deep understanding of arcane energies, possibly connected to the spirit realm.;Massively increases Ability Power, amplifying the potency of magical abilities.;Wearer gains +5 to Magic Saves. Spells cast inflict +1 damage die. But take -1 on saves vs. illusions as the crown clouds mind with visions.;https://wiki.leagueoflegends.com/en-us/images/Rabadon%27s_Deathcrown_item.png
Ranger's Trailblazer;ionia;Favored by Ionian spirit walkers, it aids traversing untamed lands, ensuring harmony with nature's path.;Grants bonus experience from large monsters and increased mana regeneration in the jungle.;Allows safe passage through the wilderness. When used, roll 1d6, on a 1-2 attract a monster, 3-4 find herbs, 5-6 move twice as far.;https://wiki.leagueoflegends.com/en-us/images/Ranger%27s_Trailblazer_item.png
Raptor Cloak;demacia;Favored by scouts patrolling Demacia's borders, allowing for faster movement between outposts.;Grants movement speed near turrets and increased health regeneration when damaged by enemy champions.;Wearer moves swiftly near fortifications. Incoming attacks mend flesh (+2hp/round) so long as attacker is visible.;https://wiki.leagueoflegends.com/en-us/images/Raptor_Cloak_item.png
Rectrix;targon;Rectrix, a quill from a celestial being, perhaps related to the Aspect of Justice or Judgment.;Empowers the next three spells cast, granting bonus damage and reducing mana cost.;Next 3 spells cast are at +1 to cast and are automatically known. If spell is unknown, there is a 1-in-6 chance to forget it after casting.;https://wiki.leagueoflegends.com/en-us/images/Rectrix_item.png
Redemption;targon;Associated with the celestial, embodying sacrifice and healing, perhaps linked to the Aspect of the Host.;Heals allies in an area after a delay. Can be used while dead.;Activate to call upon divine intervention. 3d6 HP restored to those within a 30' radius after 2 rounds. Usable from beyond the veil, but taxes the soul: User takes 1d4 damage.;https://wiki.leagueoflegends.com/en-us/images/Redemption_item.png
Regeneration Potion;ionia;Commonly used by travelers and adventurers, rumored to be brewed with rare Ionian herbs known for their restorative properties.;Slowly restores health over a short duration, providing sustain in lane or during skirmishes.;Drink: Restore 2d4 hit points over 1 turn. May make a DC 13 Con save to avoid nausea and vomiting, losing any potential additional healing from this potion.;https://wiki.leagueoflegends.com/en-us/images/Regeneration_Potion_item.png
Rejuvenation Bead;freljord;Likely originating from the frozen wastes, rumored to contain essence of the ancient ice witch.;Grants health regeneration, restoring a small amount of health per second.;"Wearer recovers 1d3 hit points per turn. If worn in extreme cold, healing is doubled; in extreme heat, healing is halved. May attract the attention of ice spirits.";https://wiki.leagueoflegends.com/en-us/images/Rejuvenation_Bead_item.png
Relic Shield;demacia;Favored by frontline soldiers of Demacia, it is often used by those who fight alongside weaker allies, or when defending fortifications.;Grants gold and heals allies when nearby minions are executed. Grants bonus health and health regeneration.;When a blow would fell an ally, instead steel yourself and absorb the impact. Your ally is spared, and you gain vitality, becoming hale and hearty. Grants +2 to HP, and slowly recover 1 lost HP per turn.;https://wiki.leagueoflegends.com/en-us/images/Relic_Shield_item.png
Remnant of the Ascended;targon;Associated with Targon's ascended, granting enhanced mana regeneration and ability power.;Grants ability haste, mana regeneration, and bonus health. Provides a ward.;Upon attuning, the wielder recovers mana quickly. Once per day, may summon a spectral sentinel to watch over a location. Sentinel disappears after 8 hours or when danger is present.;https://wiki.leagueoflegends.com/en-us/images/Remnant_of_the_Ascended_item.png
Remnant of the Watchers;freljord;Linked to the Watchers, ancient beings of the Freljordian ice, offering glimpses into their chilling power.;Provides health, mana regeneration, ability haste, and a ward-placing active.;Grants the wearer visions of the past, present, and possible futures. User risks madness as the visions are cold and uncaring. Save vs. Insanity each use.;https://wiki.leagueoflegends.com/en-us/images/Remnant_of_the_Watchers_item.png
Riftmaker;noxus;Riftmaker is likely tied to the Black Rose, an organization known for dark magic and manipulating rifts for their own purposes.;"Damage converts to true damage; healing scales with damage dealt.";"Bonds the user to an otherworldly entity. 1/day, convert damage to bypass armor. Accumulate corruption; upon reaching a threshold, heal HP equal to corruption. Risk: attracts unwanted attention from beyond.";https://wiki.leagueoflegends.com/en-us/images/Riftmaker_item.png
Rimeforged Grasp;freljord;Forged in the bitter cold, said to be able to freeze the very ground on which battles are fought. Possibly linked to the Ice Witch.;Empowers the next attack to deal bonus damage and create a temporary frost area that slows enemies.;Attack deals +1d6 cold damage. Target must Save vs. Cold or be slowed (half movement) for 1d4 rounds. Ground freezes: difficult terrain in a 10' radius.;https://wiki.leagueoflegends.com/en-us/images/Rimeforged_Grasp_item.png
Rod of Ages;targon;Forged in the heart of Targon, infused with celestial energies, it whispers forgotten truths to those who dare listen. Grants resilience in prolonged battles.;Grants health, mana, and ability power that increase over time.;Heal 1d6 hit points per turn, recover 1d4 mana. On a roll of '1' for either, hear a fragment of forgotten lore. DM determines relevance.;https://wiki.leagueoflegends.com/en-us/images/Rod_of_Ages_item.png
Ruby Sightstone;targon;Forged atop Mount Targon, it resonates with celestial energy. It might be linked to the Aspect of Twilight, enhancing map awareness.;Provides health and allows placement of Stealth Wards, granting vision in an area.;Confers +1 to Wisdom checks. Allows the user to cast 'See Invisible' once per day. The caster can see ethereal watchers for 8 turns if a WIS save is failed.;https://wiki.leagueoflegends.com/en-us/images/Ruby_Sightstone_item.png
Runecarver;freljord;Likely forged by ancient Iceborn, the Runecarver's etchings resonate with forgotten glacial magic and Freljordian spirits. Could be associated with Lissandra.;Empowers basic attacks with bonus magic damage and grants movement speed on hit.;On a hit, target must save versus magic or be slowed for 1 round. Grants +1 to hit rolls against creatures with the 'Ice' descriptor.;https://wiki.leagueoflegends.com/en-us/images/Runecarver_item.png
Runegorger;freljord;Likely a relic of the ancient Iceborn, perhaps used in rituals to consume the power of primal runes.;Restores health and mana. Deals bonus magic damage. Increases max health.;Wearer heals 1d6 HP/Mana per turn. Attacks inflict +1 magic damage. Max HP permanently increased by 5 after combat where at least one foe is slain.;https://wiki.leagueoflegends.com/en-us/images/Runegorger_item.png
Runic Bulwark;demacia;Favored by Demacian sentinels, this bulwark's runes deflect magic. Some whisper it was crafted by mageseekers, a twisted irony.;Provides magic resistance to the wielder and nearby allies.;Confers +2 to saves vs. magic. Allies within 30' gain +1 to saves. However, the bulwark hums with suppressed magic - a failed save results in a wild magic surge (GM's discretion).;https://wiki.leagueoflegends.com/en-us/images/Runic_Bulwark_item.png
Runic Echoes;ionia;Echoes resonate with Ionian spirit magic, amplifying spellcasting. Potentially tied to ancient monasteries or spirit realms.;Grants magic damage on spell cast and bonus movement speed.;Once per combat, after casting a spell, deal +1d6 magic damage with subsequent attacks, and move +10' for 1 round. Save vs. Magic or attract unwanted attention from spirits.;https://wiki.leagueoflegends.com/en-us/images/Magus_item.png
Sage's Ring;ionia;Associated with monks of Ionia seeking enlightenment and inner peace, enhancing their connection to the spirit realm.;Grants AP and mana, restoring mana on spell cast.;Wearer can cast spells more often. 1-in-6 chance a spell cast doesn't expend a charge. The wearer experiences vivid dreams, potentially receiving cryptic advice.;https://wiki.leagueoflegends.com/en-us/images/Sage%27s_Ring_item.png
Sandshrike's Claw;shurima;Forged in the desert's heart, it whispers of ancient Ascended, their power now sand. A relic of forgotten empires.;Grants a shield and a dash that empowers the next attack to deal bonus damage.;Once per day, create a sand simulacrum to scout ahead. If broken, the next strike deals +1d6 damage, revealing weakness.;https://wiki.leagueoflegends.com/en-us/images/Sandshrike%27s_Claw_item.png
Sanguine Gift;noxus;Implies a dark pact or ritual sacrifice within Noxus, possibly connected to the Crimson Circle or similar hemomancy cult.;Bonus attack damage that scales with bonus health.;Upon striking a foe, gain +1 to hit and damage rolls equal to your lost hit points. Upon reaching 0 hp, immediately die. The bargain is struck, but the blood price is absolute.;https://wiki.leagueoflegends.com/en-us/images/Sanguine_Gift_item.png
Sated Devourer;shadow isles;A relic from the Shadow Isles, possibly tied to ancient rituals enhancing predator instincts. It is tied to the hunger of the void.;On-hit, grants phantom hits, dealing bonus damage and applying on-hit effects a second time.;Upon striking a foe, a spectral tendril lashes out, seeking another nearby enemy. Roll a d6. On a 1, the tendril turns on the wielder, dealing 1d4 damage.;https://wiki.leagueoflegends.com/en-us/images/Sated_Devourer_item.png
Scout's Slingshot;demacia;Favored by young Demacian soldiers for practice. Its simple design reflects Demacia's value of resourcefulness and practicality.;Damaging enemy champions grants a burst of movement speed.;Hurl a pebble with unnatural speed and accuracy. If it strikes true, you are granted +1 to initiative on your next turn as you exploit your foe's distraction.;https://wiki.leagueoflegends.com/en-us/images/Scout%27s_Slingshot_item.png
Scrying Orb;demacia;Used by Demacian scouts to survey enemy positions. It could reveal hidden Noxian camps or Freljordian raiding parties before they strike.;Periodically reveal a small area at a distance.;Grants a fleeting glimpse through the veil of distance. 1/Day: See a 30ft radius area within 1 mile, but risk attracting unwanted attention (GM's discretion).;https://wiki.leagueoflegends.com/en-us/images/Scrying_Orb_item.png
Seeker's Armguard;noxus;Forged in Noxus, rumored to have ties to the Black Rose, offering protection to mages delving into forbidden magic.;Grants armor and ability power, increasing armor gained upon killing enemy units.;The wearer gains +2 AC. Upon slaying a foe, gain +1 AC (max +15) until end of session. If AC reaches 15, wearer must save vs. magic or be controlled by arcane whispers.;https://wiki.leagueoflegends.com/en-us/images/Seeker%27s_Armguard_item.png
Seething Sorrow;shadow isles;Associated with undeath and pain, possibly linked to the Black Mist or souls trapped within the Shadow Isles.;Deals damage based on missing health, and heals the user.;On hit, target takes +1d6 necrotic damage per 10% health missing. User heals for damage dealt. Undead are immune to the damage, healing the user instead. ;https://wiki.leagueoflegends.com/en-us/images/Seething_Sorrow_item.png
Serylda's Grudge;freljord;Forged in the Freljord, perhaps by a forgotten Ice Witch or a master blacksmith of the Winter's Claw. Grants lethality and armor penetration.;Provides armor penetration and a slowing effect on damaging abilities.;Ranged attacks cripple foes, reducing movement by 1/4 for 1d4 rounds, and ignores 20% of metal armor. The wielder gains +2 to hit armored foes.;https://wiki.leagueoflegends.com/en-us/images/Serylda%27s_Grudge_item.png
Shard of True Ice;freljord;Potentially tied to Lissandra or other Iceborn, grants vision and slows enemies. Once held immense power now a fragment.;Slows nearby enemies on ability cast. Grants bonus move speed and vision when near enemies.;Enemies failing a save vs. magic suffer -2 to hit. Those fleeing are easily tracked. Grants fleeting visions of enemies in the fog and snow.;https://wiki.leagueoflegends.com/en-us/images/Shard_of_True_Ice_item.png
Sheen;demacia;Forged in Demacia, Sheen's magic resonates with righteousness, empowering the wielder's next strike with amplified force.;After using an ability, the next attack deals bonus magic damage.;On a hit, add +1d6 magic damage. This bonus damage will only trigger after casting a spell. The magic damage can be resisted as normal. The bonus lasts a single round.;https://wiki.leagueoflegends.com/en-us/images/Sheen_item.png
Shield Totem;demacia;Likely crafted by Demacian artificers, perhaps enchanted by mages, for scouting and defense against unseen threats in the wilderness.;Periodically grants a shield, offering temporary protection from damage.;Once per day, grants +2 AC against a single attack. If that attack misses, the Totem is depleted of power.;https://wiki.leagueoflegends.com/en-us/images/Shield_Totem_item.png
Shurelya's Battlesong;targon;Said to be blessed by the celestial aspect of the Guide, granting swift passage through the most perilous journeys. Often carried by pilgrims.;Grants movement speed to nearby allies when activated, empowering the next three attacks to deal additional damage.;Once per day, the wielder and allies gain +2 to movement and initiative for 3 turns. The next 3 attacks made gain +1 to hit and deal +1d4 damage.;https://wiki.leagueoflegends.com/en-us/images/Shurelya%27s_Battlesong_item.png
Shurelya's Reverie;targon;Associated with the Aspects of Targon, channeling celestial energies and offering protection to allies through ethereal shields and swiftness.;Grants movement speed and empowers allies with a shield upon activation.;Caster and nearby allies gain +2 to save vs. fear and move 50% faster for 3 turns. After effect ends, caster must save vs. WIS DC 13 or be stunned for 1 turn.;https://wiki.leagueoflegends.com/en-us/images/Shurelya%27s_Reverie_item.png
Silvermere Dawn;freljord;Forged in the icy heart of the Freljord, rumored to be able to weaken even a Watcher's grip. Grants tenacity and cleanse effects.;Provides Tenacity, and a single-use active to remove all debuffs.;"Grants +2 to saves versus charm and hold effects. Once per day, negate a magical effect that impairs movement or thought; this action is resolved before the effect.";https://wiki.leagueoflegends.com/en-us/images/Silvermere_Dawn_item.png
Skirmisher's Sabre;ionia;Favored by Ionian duelists and pit fighters, enhancing their combat prowess in skirmishes. Some say it whispers secrets of forgotten techniques.;Challenge a champion, reducing their damage to you and granting bonus damage on hit.;Upon striking true, mark a foe. They suffer -2 to hit you, but you gain +1 to hit them and deal +2 damage. Lasts until sundown.;https://wiki.leagueoflegends.com/en-us/images/Skirmisher%27s_Sabre_item.png
Sly Sack of Gold;bilgewater;Likely acquired through less-than-reputable means in Bilgewater, perhaps involving deals with the Buhru or illicit ventures in the Serpent Isles.;Grants bonus gold on minion kill. Limited uses.;Each use grants the bearer advantage on one haggling roll as if filled with plundered coin. Risk: On a fumble, the sack bursts, revealing fool's gold.;https://wiki.leagueoflegends.com/en-us/images/Sly_Sack_of_Gold_item.png
Sorcerer's Shoes;ionia;Favored by Ionian mages seeking to enhance their connection to the spirit realm and empower their spellcasting.;Grants magic penetration, allowing spells to deal more damage by bypassing enemy magic resistance.;Wearer's spells ignore some magical defenses. Spells cast do +1 damage per level of the caster. Save vs. Magic or be stunned for 1 round after casting a spell through the shoes.;https://wiki.leagueoflegends.com/en-us/images/Sorcerer%27s_Shoes_item.png
Soul Sickle;noxus;Said to be forged in the soulfires of the Black Rose, the Soul Sickle corrupts the wielder with dark intent and insatiable hunger.;Grants bonus attack damage and mana regeneration. Killing minions grants bonus gold.;Upon glutting on souls, wielder must test WIS or attack nearest creature. Grants +1 to hit and damage rolls. Failsafe: Upon death, Soul Sickle animates and attacks nearest non-wielder.;https://wiki.leagueoflegends.com/en-us/images/Essence_Reaver_item.png
Spectral Cutlass;shadow isles;A relic of the Shadow Isles, possibly connected to lost rituals of life and death, now corrupted by undeath.;Grants spell vamp and on-hit damage, allowing the user to heal from damage dealt.;"Siphon life force from foes. A hit steals 1d4 HP, granting it to the wielder. Undead are immune; clerics resist.";https://wiki.leagueoflegends.com/en-us/images/Spectral_Cutlass_item.png
Spectre's Cowl;shadow isles;Associated with spirits and protection against malevolent magic, perhaps used by sentinels or those venturing into the Shadow Isles.;Provides magic resistance and health regeneration, mitigating magic damage taken.;Grants +2 to saves versus magic. Regenerate 1d3 hit points per turn unless damaged by fire, in which case, no regeneration.;https://wiki.leagueoflegends.com/en-us/images/Spectre%27s_Cowl_item.png
Spellbreaker;demacia;Favored by mageseekers, rumored to be forged from petricite, a stone that nullifies magic, originating from Demacia.;Grants magic resist and attack damage. Passively grants a magic damage shield when near enemy champions.;Wearer gains +3 to saves vs. magic. Once per day, may negate a magical attack, turning it back upon the caster. However, all subsequent magic attacks against the wearer gain +1 to hit.;https://wiki.leagueoflegends.com/en-us/images/Spellbreaker_item.png
Spirit of the Ancient Golem;freljord;Forged in the ancient glaciers, this item resonates with the strength and endurance of the Freljord's primal spirits and legendary golems.;Bonus health, tenacity, and health regeneration for increased survivability in prolonged fights.;Wearer gains +3 to saves vs. petrification and cold damage. Once per day, can ignore one critical hit. Slowly heals 1hp/round unless damaged.;https://wiki.leagueoflegends.com/en-us/images/Spirit_of_the_Ancient_Golem_item.png
Spirit of the Spectral Wraith;shadow isles;Associated with the Shadow Isles, potentially used by spectral beings or wraiths to enhance their magical abilities and sustain themselves.;Provides magic damage, mana sustain, and life steal against monsters.;User gains +2 to cast necromantic spells, recovers 1d4 hit points when draining life force from undead creatures. Potential risk of spectral possession on a fumble.;https://wiki.leagueoflegends.com/en-us/images/Spirit_of_the_Spectral_Wraith_item.png
Staff of Flowing Water;ionia;Associated with Ionian water spirits and the ebb and flow of magic, enhancing allies with its currents.;Heals and shields grant bonus Ability Power and Ability Haste to the ally.;Upon casting a healing or protective spell, the target gains +1 to cast magical spells and casts 1 round sooner as their magic is accelerated.;https://wiki.leagueoflegends.com/en-us/images/Staff_of_Flowing_Water_item.png
Starcaster;targon;Forged with celestial magic, it resonates with champions touched by the stars, like Zoe or Aurelion Sol, amplifying their innate cosmic power.;Empowers abilities, granting increased range and damage based on the user's bonus mana and AP.;"Upon attunement, the wielder's spells reach further and hit harder. Roll a d6; on a 1, the spell rebounds, affecting the caster instead.";https://wiki.leagueoflegends.com/en-us/images/Starcaster_item.png
Stat Bonus;targon;Celestial power enhances champions, akin to the Aspect of Might's influence on chosen warriors.;Provides adaptive force, scaling with bonus health, granting increased damage output and survivability.;Upon wearing this item, the player gets +1 to hit and damage rolls. Furthermore, for every 10 hit points they have, they gain +1 to said rolls, as well as +1 to saving throws against fear.;https://wiki.leagueoflegends.com/en-us/images/Stat_Bonus_item.png
Stat-Stick of Stoicism;ionia;Favored by Ionian monks seeking inner peace, it channels spiritual energy. Could be associated with the teachings of Karma.;Grants magic resist and ability haste, scaling with mana spent.;User gains +1 to saves versus spells. Each spell cast adds +1 to AC for 1 round. If AC exceeds 20, manifest a protective ward until end of next round.;https://wiki.leagueoflegends.com/en-us/images/Stat-Stick_of_Stoicism_item.png
Steel Shoulderguards;demacia;Favored by Demacian soldiers. Bears the crest of a forgotten order of knights. Grants courage and resilience in battle.;Grants health, health regeneration, and bonus gold on minion kills. Provides charges to consume for bonus damage.;Wearer gains +1 to saves vs. fear and poison. Once per day, may expend a charge to deal +1d4 damage on a successful melee attack. Carries 3 charges, replenished at dawn.;https://wiki.leagueoflegends.com/en-us/images/Steel_Shoulderguards_item.png
